도시명,위도,경도
서울 종로구,37.5806949,126.9827989
서울 중구,37.5636559,126.9975097
서울 용산구,37.5534363,126.9697994
서울 성동구,37.5635,127.0365
서울 동대문구,37.5741982,127.0395092
서울 성북구,37.59,127.0165
서울 도봉구,37.6686,127.0466
서울 은평구,37.6024,126.9293
서울 서대문구,37.5790747,126.9367861
서울 마포구,37.566571,126.9015317
서울 강서구,37.5509,126.8497
서울 구로구,37.4951999,126.8877
서울 영등포구,37.5262,126.8959
서울 동작구,37.5120999,126.9395
서울 관악구,37.4782,126.9518
서울 강남구,37.5177,127.0473
서울 강동구,37.53,127.1237
서울 송파구,37.5145,127.1058
서울 서초구,37.4835,127.0322
서울 양천구,37.5171,126.8663
서울 중랑구,37.6063,127.093
서울 노원구,37.654,127.0567
서울 광진구,37.5384,127.0828
서울 강북구,37.6395,127.0255
서울 금천구,37.4565,126.8954
부산 중구,35.106501,129.0325814
부산 서구,35.0974999,129.0241
부산 동구,35.1155532,129.0425868
부산 영도구,35.0908,129.0678
부산 부산진구,35.1632335,129.0529462
부산 동래구,35.2052,129.0837
부산 남구,35.1361,129.0843999
부산 북구,35.1969,128.9901999
부산 해운대구,35.1629,129.1638
부산 사하구,35.1041,128.9751
부산 금정구,35.2429,129.0926
부산 강서구,35.212,128.9805
부산 연제구,35.1765,129.0793
부산 수영구,35.1454,129.1127
부산 사상구,35.1521,128.9911
부산 기장군,35.2447818,129.2215462
경기 수원시,37.2633325,127.0287472
경기 성남시,37.3651229,127.1054443
경기 의정부시,37.7442313,127.0443128
경기 안양시,37.3938528,126.9570605
경기 부천시,37.5021254,126.7773245
경기 안산시,37.3217152,126.8308604
경기 평택시,36.9924966,127.1127168
경기 광명시,37.4785475,126.8643937
경기 구리시,37.5888053,127.1609126
경기 양주시,37.8409487,127.0543873
경기 여주시,37.2982901,127.637033
경기 화성시,37.1994653,126.8312632
경기 시흥시,37.4132332,126.8395828
경기 파주시,37.7537326,126.7785999
경기 고양시,37.6659987,126.7616388
경기 광주시,37.3989287,127.2532479
경기 연천군,38.0983014,127.0737491
경기 포천시,37.8948267,127.2007295
경기 가평군,37.8314,127.5098
경기 양평군,37.4916,127.4875
경기 이천시,37.2808823,127.4429132
경기 용인시,37.2412928,127.1809376
경기 안성시,37.0001244,127.2486877
경기 김포시,37.6155683,126.7157798
경기 동두천시,37.8930425,127.0578117
경기 과천시,37.4293233,126.9899759
경기 군포시,37.3615229,126.9349025
경기 남양주시,37.6359398,127.2165051
경기 오산시,37.1597051,127.0767008
경기 의왕시,37.3520348,126.9621154
경기 하남시,37.5392918,127.214948
강원 춘천시,37.8810569,127.7297641
강원 원주시,37.3420996,127.9197603
강원 동해시,37.5245142,129.1146302
강원 강릉시,37.7525313,128.8759523
